country,gdp,defense_budget,total_manpower,active_personnel,reserve_personnel,air_force_personnel,army_personnel,navy_personnel,total_aircraft,attack_aircraft,fighter_aircraft,transport_aircraft,helicopters,special_mission_aircraft,trainer_aircraft,attack_helicopters,tanker_aircraft,naval_assets,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,patrol_vessel,mine_warfare,tanks,vehicles,self_propelled_artillery,towed_artillery,rocket_artillery,external_debt,power_index
Venezuela,110943000000,6060000000,15625153,109000,8000,10755,300745,25500,224,0,30,47,85,3,75,10,1,41,0,0,0,1,0,3,26,0,282,15,60,92,56,121363000000,0.9106
Philippines,1202000000000,6571641011,50859137,160000,1500000,33600,1310000,42270,204,17,0,23,130,11,23,6,0,127,0,0,0,4,1,0,60,0,18,20,12,296,0,63241000000,0.6993
Pakistan,1390000000000,9102115350,108516336,660000,550000,78000,1311500,57500,1,90,331,63,379,27,563,55,4,120,0,0,0,9,6,8,79,3,2,59,662,2,652,89148000000,0.2626
Canada,2341000000000,45824959620,16681770,63500,23000,15560,49300,16300,354,0,66,29,146,34,95,0,6,67,0,0,0,12,0,4,17,0,74,21,0,0,0,2571113270000,0.5269
Ivory Coast,215018000000,18200000,12292521,22000,0,460,22000,1000,22,0,0,3,14,3,2,5,0,8,0,0,0,0,0,0,7,0,0,1,0,4,6,26576000000,2.3884
Sudan,94420000000,394700000,26747657,300000,200000,13000,485500,2000,183,36,37,13,64,0,33,35,0,10,0,0,0,0,0,0,10,0,1,8,100,1,800,21650000000,1.3563
Bolivia,122200000000,467670000,5417269,40000,40000,10000,43000,4500,67,0,0,15,29,2,20,0,0,0,0,0,0,0,0,0,0,0,54,764,0,58,0,11174000000,1.8301
Iceland,26561000000,500000000,83728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,0,0,24200000000,3.4013
Romania,774376000000,10230630000,9437041,90000,55000,11700,39250,6800,148,0,29,13,66,2,44,0,0,18,0,0,0,3,7,0,0,7,451,13,0,720,243,145200000000,0.9558
Somalia,26770000000,870000000,2993973,30000,0,550,29150,500,6,0,0,0,6,0,0,0,0,19,0,0,0,0,0,0,19,0,0,1,0,0,0,2563000000,3.7393
Argentina,1213000000000,993919790,20677529,108000,12370,14000,108000,18370,241,11,23,25,96,13,71,0,2,42,0,0,3,0,6,2,13,0,362,22,20,172,27,74362000000,0.5983
Denmark,440558000000,14250000000,2628180,21000,12000,3475,88400,3600,122,19,26,4,34,3,36,0,0,50,0,0,0,9,0,0,9,6,44,5,19,0,8,611050000000,0.8198
Germany,5247000000000,127400090000,38694786,184324,860000,27725,63000,15531,569,63,127,55,292,27,16,49,3,96,0,0,0,11,6,6,54,12,296,87,134,0,33,6862470230000,0.2463
Democratic Republic Of The Congo,164367000000,960000000,39237029,166580,30800,2550,103000,6700,56,6,0,10,38,0,2,9,0,16,0,0,0,0,0,0,16,0,212,7,16,125,81,7926000000,1.3051
Dominican Republic,276884000000,903000000,4975294,89000,189000,6730,28750,13200,80,8,0,11,49,1,17,0,0,34,0,0,0,0,0,0,14,0,6,930,0,14,0,35044000000,2.5853
Nepal,149643000000,431355326,15249970,98500,82000,1000,97500,0,17,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,5719000000,2.8037
Cameroon,143264000000,835694942,10528476,38000,0,420,47000,1000,35,0,0,6,21,2,6,0,0,19,0,0,0,0,0,0,19,0,0,860,18,52,20,11112000000,2.1689
Turkmenistan,134555000000,1463000000,2768681,36500,0,3000,42760,2000,91,27,22,5,26,0,11,10,0,16,0,0,0,0,0,0,16,0,654,11,73,457,164,3696000000,1.7459
Kuwait,225947000000,7987000000,1726095,78000,24000,2500,103000,4000,133,0,47,2,68,0,13,16,3,123,0,0,0,0,0,0,106,0,367,7,51,0,27,60500000000,1.7161
Spain,2361000000000,39000676350,21748999,121802,24033,23000,85978,20840,440,12,136,51,169,8,108,17,0,175,1,0,0,11,0,2,112,6,298,49,96,188,0,2830012130000,0.3247
Italy,3133000000000,37325165000,27434219,165500,18300,43000,97755,30000,714,65,88,31,352,22,152,37,8,285,2,0,3,14,0,8,15,10,203,87,64,108,21,3025000000000,0.2211
Ireland,620544000000,1754400500,2407392,7557,1720,690,7705,800,23,0,0,5,8,2,8,0,0,8,0,0,0,0,0,0,8,0,0,3,0,0,0,3630000000000,2.0661
El Salvador,73961000000,1037200000,3181777,25000,0,2000,20500,2000,51,15,0,3,28,0,10,0,0,13,0,0,0,0,0,0,8,0,0,2,0,76,0,12668000000,2.9973
South Korea,2607000000000,44800000000,26040900,450000,3100000,65000,365000,70000,1,98,242,40,827,35,335,113,4,215,0,2,14,18,3,22,96,14,1,117,2,5,525,553871450000,0.1642
Laos,66905000000,355600000,3499565,100000,30000,500,130000,2000,29,0,0,2,20,0,7,0,0,0,0,0,0,0,0,0,0,0,160,7,50,97,64,9619000000,2.8672
Liberia,9308000000,20700000,2392390,2100,0,0,2100,300,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,550,0,0,0,1335000000,3.9275
Peru,535911000000,2552000000,15648120,120000,386000,12100,92500,26000,252,22,15,39,112,12,68,16,0,78,0,0,0,7,8,6,13,0,355,9,12,290,61,38102000000,0.8827
Iraq,585887000000,8000000000,17675043,193000,0,5000,180000,3000,360,36,26,15,183,17,111,39,0,67,0,0,0,0,1,0,55,0,1,37,434,610,572,15580000000,0.8115
Bosnia And Herzegovina,64641000000,289920000,2355176,18000,8000,2100,26000,0,15,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,45,892,0,300,24,5359000000,3.1291
Slovenia,103118000000,1782000000,1006989,7000,26000,615,32035,350,40,0,0,5,16,0,23,0,0,3,0,0,0,0,0,0,3,0,54,4,17,18,0,60500000000,1.9404
Honduras,71297000000,612300000,4192843,52225,0,8520,83000,4000,45,7,6,10,11,1,10,0,0,98,0,0,0,0,0,0,93,0,22,4,0,48,0,7785000000,2.2575
Bahrain,93937000000,997015509,846120,18400,110000,1500,130000,700,137,0,28,3,66,0,40,34,0,64,0,0,0,2,2,0,50,0,150,5,38,26,18,54450000000,1.6731
Benin,56424000000,137690000,5584880,4750,0,300,4750,200,7,0,0,1,5,1,0,0,0,2,0,0,0,0,0,0,2,0,0,92,0,16,0,6309000000,3.8963
Tanzania,246706000000,1476113361,12143182,25000,0,1825,21975,1200,38,0,11,6,15,0,6,0,0,12,0,0,0,0,0,0,10,0,200,8,0,205,70,17513000000,1.9111
Colombia,978024000000,15800000000,24298295,429000,998000,25000,2048583,35100,430,24,16,82,255,27,72,0,1,213,0,0,0,9,2,4,158,0,0,12,6,110,0,108027000000,0.7551
Russia,6089000000000,212638272000,69002197,1320000,2000000,203376,600000,160000,4,698,861,458,1,137,530,556,18,747,1,0,13,12,79,66,70,45,5,126,3,5,2,226475750000,0.0791
Greece,192205000000,8242150000,4916713,142700,221350,42500,200000,30000,560,0,178,17,285,8,86,28,0,186,0,0,0,14,0,9,45,3,1,56,589,698,152,605000000000,0.5484
Yemen,18719000000,405187500,12213368,33350,0,3850,56350,3250,160,0,68,3,59,0,30,14,0,26,0,0,0,0,1,0,9,0,0,1,12,60,30,6492000000,2.1617
Portugal,556942000000,6760000000,5319863,25000,23500,6000,12000,7000,128,5,28,20,36,16,23,0,4,128,0,0,0,5,2,2,71,0,34,10,23,54,0,530000000000,0.6659
Panama,164484000000,1069750000,2011608,16300,0,500,80000,0,38,0,0,13,23,2,0,0,0,22,0,0,0,0,0,0,14,0,0,1,0,0,0,1227085530000,3.5011
Algeria,722912000000,25000000000,22570787,130000,150000,14000,280000,15000,620,42,111,63,300,10,90,74,4,111,0,0,0,8,8,6,75,3,1,24,224,483,188,4764000000,0.4849
South Africa,870420000000,2877000000,27803618,68731,29350,13815,53872,7890,181,0,2,11,87,0,81,10,0,63,0,0,0,4,0,3,42,4,248,23,52,434,201,93879000000,0.6843
Republic Of The Congo,39147000000,933360000,2256136,10000,0,675,9325,0,14,0,2,4,8,0,0,1,0,4,0,0,0,0,0,0,0,0,61,804,3,38,30,6360000000,2.6259
Afghanistan,82238000000,145000000,15647405,75000,0,0,165000,0,5,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1929750000,2.7342
Sierra Leone,26728000000,450000000,2006631,13000,0,175,12575,250,1,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,10,0,0,350,0,0,0,1451000000,3.9201
China,33598000000000,303000000000,764123366,2035000,510000,403000,2545000,384000,3,371,1,287,1,105,401,281,9,841,3,4,53,46,50,61,150,36,5,152,2,1,2,488114000000,0.0919
Bangladesh,1473000000000,3340000000,82661620,204000,0,19000,173408,22000,212,0,41,17,67,4,83,0,0,121,0,0,0,7,6,2,61,5,320,11,36,487,103,58020000000,0.6517
Finland,313591000000,8890000000,2306830,24000,870000,41100,42000,6700,162,0,53,11,27,1,77,0,0,165,0,0,0,0,0,0,8,18,200,14,125,667,76,726000000000,0.8673
Moldova,39342000000,114114000,2159717,6500,2000,700,4000,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,67,11,2637000000,3.6225
