country,total_population,gdp,defense_budget,total_manpower,active_personnel,reserve_personnel,air_force_personnel,army_personnel,navy_personnel,total_aircraft,attack_aircraft,fighter_aircraft,transport_aircraft,helicopters,special_mission_aircraft,trainer_aircraft,attack_helicopters,tanker_aircraft,naval_assets,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,patrol_vessel,mine_warfare,tanks,self_propelled_artillery,towed_artillery,rocket_artillery,external_debt,power_index,alliance_flag,continent,region,flag_image_url,total_military_hardware,assets_per_capita,budget_gdp_ratio,rank,power_index_rank_gap
Madagascar,29452714.0,52968000000.0,147630000.0,11192031.0,13500.0,0.0,300.0,21600.0,500.0,6.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,12.0,0.0,17.0,0.0,3548000000.0,3.0381,Non-Aligned,Africa,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Madagascar.svg/25px-Flag_of_Madagascar.svg.png,25.0,2.2e-06,0.00279,131,130
Romania,18148155.0,774376000000.0,10230630000.0,9437041.0,90000.0,55000.0,11700.0,39250.0,6800.0,148.0,0.0,29.0,13.0,66.0,2.0,44.0,0.0,0.0,18.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,7.0,451.0,0.0,720.0,243.0,145200000000.0,0.9558,NATO,Europe,Eastern Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Romania.svg/25px-Flag_of_Romania.svg.png,617.0,6.54e-05,0.01321,52,51
Philippines,118277063.0,1202000000000.0,6571641011.0,50859137.0,160000.0,1500000.0,33600.0,1310000.0,42270.0,204.0,17.0,0.0,23.0,130.0,11.0,23.0,6.0,0.0,127.0,0.0,0.0,0.0,4.0,1.0,0.0,60.0,0.0,18.0,12.0,296.0,0.0,63241000000.0,0.6993,Non-Aligned,Asia,South-East Asia,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Philippines.svg/25px-Flag_of_Philippines.svg.png,349.0,6.9e-06,0.00547,41,40
Kenya,58246378.0,328632000000.0,1651803025.0,21551160.0,50000.0,0.0,4175.0,50000.0,2500.0,154.0,0.0,17.0,21.0,84.0,2.0,30.0,2.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,188.0,18.0,53.0,0.0,31451000000.0,1.8588,Non-Aligned,Africa,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Kenya.svg/25px-Flag_of_Kenya.svg.png,369.0,1.71e-05,0.00503,84,83
Denmark,5973136.0,440558000000.0,14250000000.0,2628180.0,21000.0,12000.0,3475.0,88400.0,3600.0,122.0,19.0,26.0,4.0,34.0,3.0,36.0,0.0,0.0,50.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,6.0,44.0,19.0,0.0,8.0,611050000000.0,0.8198,NATO,Europe,Northern Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Denmark.svg/25px-Flag_of_Denmark.svg.png,216.0,8.22e-05,0.03235,45,44
Bolivia,12311974.0,122200000000.0,467670000.0,5417269.0,40000.0,40000.0,10000.0,43000.0,4500.0,67.0,0.0,0.0,15.0,29.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,58.0,0.0,11174000000.0,1.8301,Non-Aligned,Americas,South America,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Bolivia.svg/25px-Flag_of_Bolivia.svg.png,121.0,2.23e-05,0.00383,82,81
Taiwan,23595274.0,1743000000000.0,31180000000.0,12269542.0,230000.0,1657000.0,125000.0,94000.0,107000.0,720.0,0.0,258.0,19.0,239.0,18.0,215.0,91.0,0.0,91.0,0.0,0.0,4.0,21.0,7.0,4.0,36.0,10.0,1090.0,488.0,1360.0,223.0,229900000000.0,0.3927,Non-Aligned,Asia,Eastern Asia,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Taiwan.svg/25px-Flag_of_Taiwan.svg.png,1901.0,0.0001549,0.01789,22,21
Serbia,6652212.0,177093000000.0,2770000000.0,3259584.0,22500.0,2000.0,3000.0,13200.0,0.0,115.0,17.0,11.0,3.0,51.0,0.0,33.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.0,96.0,150.0,73.0,21726000000.0,1.2938,Non-Aligned,Europe,Southern Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Serbia.svg/25px-Flag_of_Serbia.svg.png,357.0,0.0001095,0.01564,63,62
Colombia,49588357.0,978024000000.0,15800000000.0,24298295.0,429000.0,998000.0,25000.0,2048583.0,35100.0,430.0,24.0,16.0,82.0,255.0,27.0,72.0,0.0,1.0,213.0,0.0,0.0,0.0,9.0,2.0,4.0,158.0,0.0,0.0,6.0,110.0,0.0,108027000000.0,0.7551,Non-Aligned,Americas,South America,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Colombia.svg/25px-Flag_of_Colombia.svg.png,643.0,2.65e-05,0.01616,43,42
Greece,10461091.0,192205000000.0,8242150000.0,4916713.0,142700.0,221350.0,42500.0,200000.0,30000.0,560.0,0.0,178.0,17.0,285.0,8.0,86.0,28.0,0.0,186.0,0.0,0.0,0.0,14.0,0.0,9.0,45.0,3.0,1344.0,589.0,698.0,152.0,605000000000.0,0.5484,NATO,Europe,Southern Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Greece.svg/25px-Flag_of_Greece.svg.png,2090.0,0.0004251,0.04288,30,29
Mauritania,4328040.0,33069000000.0,270625000.0,1687936.0,31540.0,66000.0,1105.0,102540.0,1500.0,23.0,4.0,0.0,7.0,4.0,2.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,51.0,0.0,75.0,0.0,3072000000.0,2.7919,Non-Aligned,Africa,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Mauritania.svg/25px-Flag_of_Mauritania.svg.png,80.0,4.74e-05,0.00818,123,122
Nicaragua,6676948.0,52989000000.0,1311600000.0,3271705.0,45000.0,0.0,815.0,42935.0,1250.0,17.0,0.0,0.0,5.0,12.0,0.0,1.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,186.0,0.0,347.0,151.0,6753000000.0,2.5894,Non-Aligned,Americas,Central America,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Nicaragua.svg/25px-Flag_of_Nicaragua.svg.png,226.0,6.91e-05,0.02475,116,115
Libya,7361263.0,90609000000.0,1474800000.0,3827857.0,32000.0,0.0,1000.0,85000.0,7500.0,83.0,1.0,10.0,12.0,22.0,0.0,35.0,4.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,55.0,20.0,38.0,25.0,3654200000.0,1.7872,Non-Aligned,Africa,Northern Africa,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Libya.svg/25px-Flag_of_Libya.svg.png,143.0,3.74e-05,0.01628,80,79
Gabon,2455105.0,48045000000.0,340950000.0,932940.0,5000.0,0.0,900.0,4500.0,400.0,25.0,0.0,6.0,3.0,16.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,28.0,6442000000.0,3.0432,Non-Aligned,Africa,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Gabon.svg/25px-Flag_of_Gabon.svg.png,30.0,3.22e-05,0.0071,132,131
Guatemala,18255216.0,232673000000.0,616000000.0,7484639.0,106114.0,90000.0,2210.0,196114.0,3200.0,35.0,3.0,0.0,10.0,20.0,2.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,110.0,0.0,11862000000.0,2.1277,Non-Aligned,Americas,Central America,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Guatemala.svg/25px-Flag_of_Guatemala.svg.png,60.0,8e-06,0.00265,96,95
New Zealand,5161211.0,257117000000.0,2455949332.0,2219321.0,10050.0,3300.0,2875.0,6345.0,2873.0,47.0,0.0,0.0,7.0,21.0,6.0,13.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,31.0,0.0,230651410000.0,1.9258,Non-Aligned,Oceania,Australia & New Zealand,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_New_Zealand.svg/25px-Flag_of_New_Zealand.svg.png,55.0,2.48e-05,0.00955,90,89
Lithuania,2628186.0,136227000000.0,5651760000.0,1708321.0,23000.0,104000.0,1500.0,21000.0,700.0,9.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,16.0,54.0,0.0,48400000000.0,1.8949,NATO,Europe,Northern Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Lithuania.svg/25px-Flag_of_Lithuania.svg.png,22.0,1.29e-05,0.04149,88,87
Mali,21990607.0,71253000000.0,1110000000.0,6817088.0,40000.0,0.0,550.0,44800.0,0.0,44.0,12.0,9.0,8.0,10.0,1.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,30.0,4085000000.0,2.2598,Non-Aligned,Africa,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_Mali.svg/25px-Flag_of_Mali.svg.png,44.0,6.5e-06,0.01558,104,103
