Country,Power_Index,defense_spending,purchasing_power_parity,coastline_coverage,border_coverage,total_aircraft_strength,tank_strength,total_naval_assets,fighter_aircraft,attack_aircraft,transport_aircraft,total_military_manpower,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,total_naval_fleet_tonnage_mt,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,defense_budget_usd,external_debt_usd,foreign_exchange_gold_reserves,total_serviceable_airports,major_ports_and_terminals,total_merchant_marine_fleet,railway_coverage_km,roadway_coverage_km,oil_production_bbl,oil_consumption_bbl,proven_oil_reserves_bbl,natural_gas_production_cum,natural_gas_consumption_cum,proven_natural_gas_reserves_cum,coal_production_cum,coal_consumption_mt,proven_coal_reserves_cum,total_land_area_sq_km,waterway_coverage_km,Flag_URL,Power_Index_Rank_Gap,Power_Index_Rank,economic_assets_per_military_manpower,budget_to_gdp_ratio,Region,Alliance
United States,0.0741,8.32E+11,2.57E+13,19924,12002,13032,4666,465,1791,926,917,1333030,2610,611,610,5913,1024,4666,409660,1521,1878,1731,465,8265799,11,9,66,83,0,27,0,8.32E+11,2.45E+13,9.10E+11,16116,666,3533,293564,6586610,20953000,20307000,38212000000,1.03E+12,9.14E+11,1.34E+13,534234000,495156000,2.48E+11,9833517,41009,https://www.globalfirepower.com/imgs/flags/sml/united-states.jpg,0.005,1,19261381.96,0.032384328,North America,NATO
Russia,0.0791,2.13E+11,6.09E+12,37653,22407,4237,5630,747,861,698,458,1320000,530,137,18,1643,556,5630,126512,3603,5920,2486,747,1426539,1,0,66,13,12,79,70,2.13E+11,2.26E+11,5.97E+11,905,67,2910,85494,1283387,10879000,3863000,80000000000,6.18E+11,4.72E+11,4.78E+13,531130000,290763000,1.62E+11,17098242,102000,https://www.globalfirepower.com/imgs/flags/sml/russia.jpg,0.0128,2,4612878.788,0.034921707,Europe,CSTO
China,0.0919,3.03E+11,3.36E+13,14500,22457,3529,5870,841,1443,371,287,2035000,401,105,9,1007,281,5870,152040,2940,1400,2770,841,3192411,3,4,61,53,46,50,150,3.03E+11,4.88E+11,3.46E+12,552,66,8314,150000,5200000,4984000,16189000,26023000000,2.25E+11,3.66E+11,6.65E+12,4805000000,5191000000,1.57E+11,9596960,27700,https://www.globalfirepower.com/imgs/flags/sml/china.jpg,0.0427,3,16510073.71,0.009018394,Asia,None
India,0.1346,1.09E+11,1.42E+13,7000,13888,2183,3913,343,476,124,277,1431000,334,72,6,594,79,3913,163554,100,5640,300,343,631989,2,0,18,13,18,21,146,1.09E+11,2.13E+11,6.43E+11,315,56,1859,65554,6371847,822000,5271000,4605000000,33170000000,58867000000,1.38E+12,1020000000,1262000000,1.28E+11,3287263,14500,https://www.globalfirepower.com/imgs/flags/sml/india.jpg,0.0296,4,9953878.407,0.007652345,Asia,None
South Korea,0.1642,44800000000,2.61E+12,2413,237,1540,1831,215,242,98,40,450000,335,35,4,827,113,1831,117460,2780,5800,525,215,427946,0,2,22,14,18,3,96,44800000000,5.54E+11,4.18E+11,92,15,2149,3979,100428,38000,2542000,0,55127000,59480000000,7079000000,16081000,136817000,326000000,99720,1600,https://www.globalfirepower.com/imgs/flags/sml/south-korea.jpg,0.0156,5,5793333.333,0.017184503,Asia,None
France,0.1798,67232395000,3.73E+12,4853,4072,974,427,166,223,0,118,264000,140,44,15,452,67,427,110784,74,0,9,166,487471,1,3,9,11,5,0,22,67232395000,7.69E+12,2.83E+11,1218,66,553,27860,1053215,80000,1536000,61719000,20132000,37001000000,7787000000,2157000,12570000,160000000,643801,8501,https://www.globalfirepower.com/imgs/flags/sml/france.jpg,0.0078,6,14136363.64,0.018015111,Europe,NATO
Japan,0.1876,58000000000,5.72E+12,29751,0,1429,734,158,217,47,53,251500,399,135,10,583,118,734,54390,193,480,99,158,798062,0,4,23,41,8,0,6,58000000000,5.15E+12,1.23E+12,280,163,5229,27311,1218772,8000,3140000,44115000,2220000000,92843000000,20898000000,27657000,197612000,350000000,377915,1770,https://www.globalfirepower.com/imgs/flags/sml/japan.jpg,0.0005,7,22723658.05,0.010148731,Asia,None
United Kingdom,0.1881,88526529585,3.64E+12,12429,499,625,288,116,103,38,30,141330,201,29,9,262,50,288,94064,14,126,43,116,406308,2,0,10,6,7,0,26,88526529585,1.06E+13,1.75E+11,1057,185,868,16390,416461,753000,1406000,2500000000,37758000000,70141000000,1.81E+11,1568000,7372000,26000000,243610,3200,https://www.globalfirepower.com/imgs/flags/sml/united-kingdom.jpg,0.0094,8,25727021.86,0.02434723,Europe,NATO
Turkiye,0.1975,51400000000,3.02E+12,7200,2816,1101,2284,192,201,0,84,481000,301,27,7,509,111,2284,98193,1045,635,237,192,349739,0,1,14,0,17,9,40,51400000000,1.50E+11,1.55E+11,116,54,1170,11497,68526,83000,1107000,366000000,379701000,52887000000,3794000000,82534000,124183000,10975000000,783562,1200,https://www.globalfirepower.com/imgs/flags/sml/turkey.jpg,0.0236,9,6274428.274,0.017031146,,None
Italy,0.2211,37325165000,3.13E+12,7600,1836,714,203,285,88,65,31,165500,152,22,8,352,37,203,87364,64,108,21,285,387892,2,0,8,3,14,0,15,37325165000,3.03E+12,2.91E+11,655,123,1276,18475,228863,111000,1245000,497934000,3117000000,68735000000,45750000000,1572000,12424000,609999000,301340,2400,https://www.globalfirepower.com/imgs/flags/sml/italy.jpg,0.0163,10,18930513.6,0.011913554,Europe,NATO
