country,power_index,total_population,gdp,defense_budget,external_debt,total_manpower,active_personnel,reserve_personnel,total_aircraft,fighter_aircraft,trainer_aircraft,special_mission_aircraft,helicopters,attack_helicopters,tanks_stock,tanks_readiness,self_propelled_artillery_stock,self_propelled_artillery_readiness,towed_artillery_stock,towed_artillery_readiness,naval_assets,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,patrol_vessel,mine_warfare
Afghanistan,2.7342,"40,121,552","$82,238,000,000","$145,000,000","$1,929,750,000","15,647,405","75,000",0,5,0,0,0,3,0,0,0,0,0,0,0,,,,,,,,,
Albania,1.7258,"3,107,100","$51,360,000,000","$720,037,190","$5,363,000,000","1,522,479","7,500",0,20,0,0,0,19,0,0,0,10,7,0,0,33,0,0,0,0,0,0,33,0
Algeria,0.4849,"47,022,473","$722,912,000,000","$25,000,000,000","$4,764,000,000","22,570,787","130,000","150,000",620,111,90,10,300,74,"1,485",965,224,146,483,314,111,0,0,0,8,8,6,75,3
Angola,1.1045,"37,202,061","$278,239,000,000","$31,200,000,000","$45,299,000,000","7,440,412","107,000",0,278,67,56,2,115,14,319,191,25,15,575,345,32,0,0,0,0,0,0,32,0
Argentina,0.5983,"46,994,384","$1,213,000,000,000","$993,919,790","$74,362,000,000","20,677,529","108,000","12,370",241,23,71,13,96,0,362,199,20,11,172,95,42,0,0,3,0,6,2,13,0
Armenia,2.2016,"2,976,765","$60,909,000,000","$1,480,000,000","$6,002,000,000","1,666,988","65,000","210,000",69,4,12,0,36,20,109,60,104,57,193,106,,,,,,,,,
Australia,0.3208,"26,768,598","$1,635,000,000,000","$57,350,000,000","$3,770,254,730,000","11,242,811","58,910","33,270",348,24,107,31,72,22,46,35,0,0,48,36,45,0,2,3,7,0,6,13,3
Austria,1.3759,"8,967,982","$581,131,000,000","$6,103,900,800","$693,000,000,000","4,035,592","25,000","125,600",90,15,23,0,41,0,56,42,30,23,0,0,,,,,,,,,
Azerbaijan,1.1991,"10,650,239","$225,198,000,000","$5,100,000,000","$12,378,000,000","5,218,617","128,000","306,000",159,12,36,0,87,16,"1,354",880,135,88,651,423,32,0,0,0,0,0,4,17,4
Bahrain,1.6731,"1,566,888","$93,937,000,000","$997,015,509","$54,450,000,000","846,120","18,400","110,000",137,28,40,0,66,34,150,90,38,23,26,16,64,0,0,0,2,2,0,50,0
Bangladesh,0.6517,"168,697,184","$1,473,000,000,000","$3,340,000,000","$58,020,000,000","82,661,620","204,000",0,212,41,83,4,67,0,320,224,36,25,487,341,121,0,0,0,7,6,2,61,5
Belarus,1.4072,"9,501,451","$265,220,000,000","$1,034,784,000","$18,010,000,000","5,035,769","63,000","365,400",194,43,27,0,70,31,577,375,357,232,190,124,,,,,,,,,
