country,rank,power_index,active_personnel,reserve_personnel,paramilitary,fit_for_service,military_age_annually,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,total_naval_fleet_tonnage_mt,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,defense_budget_usd,gdp_ppp_usd,forex_reserves_usd,labour_force,external_debt_usd,total_population,oil_production_bbl,proven_oil_reserves_bbl,natural_gas_production_cum
United States,1,PwrIndx: 0.0741,"13,33,030","7,99,500",0,"12,48,16,644","44,45,524","13,032","1,791",926,917,"2,610",611,610,"5,913","1,024","4,666","4,09,660","1,521","1,878","1,731",465,"82,65,799",11,9,66,83,0,27,0,"$                        							831,500,000,000","$                        							25,676,000,000,000","$                        							910,037,000,000","17,41,74,000","$                        							24,538,900,710,000","34,19,63,408","20,953,000                        						
							bbl","38,212,000,000                        						
							bbl","1,029,000,000,000                        						
							Cu.M"
Russia,2,PwrIndx: 0.0791,"13,20,000","20,00,000","2,50,000","4,61,89,226","12,67,387","4,237",861,698,458,530,137,18,"1,643",556,"5,630","1,26,512","3,603","5,920","2,486",747,"14,26,539",1,0,66,13,12,79,70,"$                        							212,638,272,000","$                        							6,089,000,000,000","$                        							597,217,000,000","7,25,17,000","$                        							226,475,750,000","14,08,20,810","10,879,000                        						
							bbl","80,000,000,000                        						
							bbl","617,830,000,000                        						
							Cu.M"
China,3,PwrIndx: 0.0919,"20,35,000","5,10,000","6,25,000","62,68,64,169","1,98,10,606","3,529","1,443",371,287,401,105,9,"1,007",281,"5,870","1,52,040","2,940","1,400","2,770",841,"31,92,411",3,4,61,53,46,50,150,"$                        							303,000,000,000","$                        							33,598,000,000,000","$                        							3,456,000,000,000","77,38,80,000","$                        							488,114,000,000","1,41,50,43,270","4,984,000                        						
							bbl","26,023,000,000                        						
							bbl","225,341,000,000                        						
							Cu.M"
India,4,PwrIndx: 0.1346,"14,31,000","10,00,000","25,27,000","52,27,86,598","2,39,55,181","2,183",476,124,277,334,72,6,594,79,"3,913","1,63,554",100,"5,640",300,343,"6,31,989",2,0,18,13,18,21,146,"$                        							109,000,000,000","$                        							14,244,000,000,000","$                        							643,043,000,000","60,76,91,000","$                        							212,728,000,000","1,40,91,28,296","822,000                        						
							bbl","4,605,000,000                        						
							bbl","33,170,000,000                        						
							Cu.M"
South Korea,5,PwrIndx: 0.1642,"4,50,000","31,00,000","1,20,000","2,13,53,538","4,16,654","1,540",242,98,40,335,35,4,827,113,"1,831","1,17,460","2,780","5,800",525,215,"4,27,946",0,2,22,14,18,3,96,"$                        							44,800,000,000","$                        							2,607,000,000,000","$                        							418,219,000,000","2,97,13,000","$                        							553,871,450,000","5,20,81,799","38,000                        						
							bbl","0                        						
							bbl","55,127,000                        						
							Cu.M"
France,6,PwrIndx: 0.1798,"2,64,000","43,444","1,50,000","2,37,94,358","7,52,121",974,223,0,118,140,44,15,452,67,427,"1,10,784",74,0,9,166,"4,87,471",1,3,9,11,5,0,22,"$                        							67,232,395,000","$                        							3,732,000,000,000","$                        							282,857,000,000","3,17,25,000","$                        							7,691,315,390,000","6,83,74,591","80,000                        						
							bbl","61,719,000                        						
							bbl","20,132,000                        						
							Cu.M"
Japan,7,PwrIndx: 0.1876,"2,51,500","56,000","25,000","4,28,74,277","11,08,818","1,429",217,47,53,399,135,10,583,118,734,"54,390",193,480,99,158,"7,98,062",0,4,23,41,8,0,6,"$                        							58,000,000,000","$                        							5,715,000,000,000","$                        							1,231,000,000,000","6,93,82,000","$                        							5,147,667,910,000","12,32,01,945","8,000                        						
							bbl","44,115,000                        						
							bbl","2,220,000,000                        						
							Cu.M"
United Kingdom,8,PwrIndx: 0.1881,"1,41,330","31,940",0,"2,51,92,932","7,53,050",625,103,38,30,201,29,9,262,50,288,"94,064",14,126,43,116,"4,06,308",2,0,10,6,7,0,26,"$                        							88,526,529,585","$                        							3,636,000,000,000","$                        							174,598,000,000","3,53,59,000","$                        							10,553,123,900,000","6,84,59,055","753,000                        						
							bbl","2,500,000,000                        						
							bbl","37,758,000,000                        						
							Cu.M"
Turkiye,9,PwrIndx: 0.1975,"4,81,000","3,80,000","1,50,000","3,60,87,279","14,30,032","1,101",201,0,84,301,27,7,509,111,"2,284","98,193","1,045",635,237,192,"3,49,739",0,1,14,0,17,9,40,"$                        							51,400,000,000","$                        							3,018,000,000,000","$                        							154,744,000,000","3,60,81,000","$                        							149,654,000,000","8,41,19,531","83,000                        						
							bbl","366,000,000                        						
							bbl","379,701,000                        						
							Cu.M"
Italy,10,PwrIndx: 0.2211,"1,65,500","18,300","1,05,000","2,21,91,235","5,48,684",714,88,65,31,152,22,8,352,37,203,"87,364",64,108,21,285,"3,87,892",2,0,8,3,14,0,15,"$                        							37,325,165,000","$                        							3,133,000,000,000","$                        							290,547,000,000","2,58,28,000","$                        							3,025,000,000,000","6,09,64,931","111,000                        						
							bbl","497,934,000                        						
							bbl","3,117,000,000                        						
							Cu.M"
