country,total_population,gdp,defense_budget,total_manpower,active_personnel,reserve_personnel,air_force_personnel,army_personnel,navy_personnel,total_aircraft,attack_aircraft,fighter_aircraft,transport_aircraft,helicopters,special_mission_aircraft,trainer_aircraft,attack_helicopters,tanker_aircraft,naval_assets,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,patrol_vessel,mine_warfare,external_debt,power_index,tanks_stock,tanks_readiness,self_propelled_artillery_stock,self_propelled_artillery_readiness,towed_artillery_stock,towed_artillery_readiness,rocket_artillery_stock,rocket_artillery_readiness
Chile,18664652,596556000000,6800000000,8959033,80000,40000,7645,80000,25000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,8.0,0.0,4.0,40.0,0.0,235950000000,0.8704,386,251,48,31,249,162,9,6
Dominican Republic,10815857,276884000000,903000000,4975294,89000,189000,6730,28750,13200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,35044000000,2.5853,6,3,0,0,14,7,0,0
Norway,5509733,507680000000,11189483200,2203893,33440,20100,3650,8735,4010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,4.0,6.0,6.0,20.0,5.0,787758400000,0.6679,36,25,28,20,0,0,0,0
Zambia,20799116,79207000000,385321000,7279691,15150,0,3745,13250,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16597000000,2.4461,75,41,12,7,60,33,50,28
Liberia,5437249,9308000000,20700000,2392390,2100,0,0,2100,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1335000000,3.9275,0,0,0,0,0,0,0,0
Brazil,220051512,4165000000000,26400000000,112226271,376000,1340000,81000,1212217,80505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,1.0,0.0,8.0,2.0,6.0,22.0,4.0,198582000000,0.2374,294,191,149,97,412,268,82,53
Pakistan,252363571,1390000000000,9102115350,108516336,660000,550000,78000,1311500,57500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,9.0,6.0,8.0,79.0,3.0,89148000000,0.2626,2,1,662,430,2,1,652,424
Morocco,37387585,350594000000,16100000000,17946041,400000,250000,13000,500000,9300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,6.0,1.0,0.0,84.0,0.0,42262000000,1.0368,1,808,544,326,188,113,185,111
Beliz,415789,5538000000,34400000,158000,2000,850,60,2850,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,1235000000,4.3602,0,0,0,0,0,0,0,0
Kazakhstan,20260006,739385000000,5836386000,9117003,110000,135000,12000,80000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,25765000000,1.0433,353,212,126,76,194,116,287,172
Portugal,10639726,556942000000,6760000000,5319863,25000,23500,6000,12000,7000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,5.0,2.0,2.0,71.0,0.0,530000000000,0.6659,34,24,23,16,54,38,0,0
Uganda,49283041,144137000000,1510000000,16756234,45000,0,1200,43800,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10469000000,2.3252,259,142,6,3,26,14,12,7
Botswana,2450668,45553000000,581000000,1029281,12000,0,500,12000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1761000000,2.9993,45,20,12,5,36,16,20,9
Nigeria,236747130,1318000000000,3900000000,125475979,230000,0,18000,1960000,11000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,0.0,0.0,1.0,0.0,0.0,132.0,2.0,45009000000,0.6097,330,182,40,22,339,186,37,20
Tajikistan,10394063,50370000000,450460000,4781269,150000,600000,1200,9000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3024000000,2.1749,38,23,3,2,13,8,24,14
United Kingdom,68459055,3636000000000,88526529585,31491165,141330,31940,34800,108413,37890,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,2.0,0.0,6.0,7.0,0.0,10.0,26.0,8.0,10553123900000,0.1881,288,187,14,9,126,82,43,28
Panama,4470241,164484000000,1069750000,2011608,16300,0,500,80000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1227085530000,3.5011,0,0,0,0,0,0,0,0
Iraq,42083436,585887000000,8000000000,17675043,193000,0,5000,180000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,1.0,0.0,55.0,0.0,15580000000,0.8115,1,713,434,260,610,366,572,343
Czech Republic,10837890,521928000000,9174000000,5093808,30334,4900,3120,13000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232320000000,1.0313,20,14,53,37,0,0,16,11
Bosnia And Herzegovina,3798671,64641000000,289920000,2355176,18000,8000,2100,26000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5359000000,3.1291,45,29,0,0,300,195,24,16
