country,rank,power_index,active_personnel,reserve_personnel,paramilitary,fit_for_service,military_age_annually,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,total_naval_fleet_tonnage_mt,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,defense_budget_usd,gdp_ppp_usd,forex_reserves_usd,external_debt_usd
United States,1,0.0741,1333030,799500,0,124816644,4445524,13032,1791,926,917,2610,611,610,5913,1024,4666,409660,1521,1878,1731,465,8265799.0,11,9,66,83,0,27,0,831500000000.0,25676000000000.0,910037000000.0,24538900000000.0
Russia,2,0.0791,1320000,2000000,250000,46189226,1267387,4237,861,698,458,530,137,18,1643,556,5630,126512,3603,5920,2486,747,1426539.0,1,0,66,13,12,79,70,212638000000.0,6089000000000.0,597217000000.0,226476000000.0
China,3,0.0919,2035000,510000,625000,626864169,19810606,3529,1443,371,287,401,105,9,1007,281,5870,152040,2940,1400,2770,841,3192411.0,3,4,61,53,46,50,150,303000000000.0,33598000000000.0,3456000000000.0,488114000000.0
India,4,0.1346,1431000,1000000,2527000,522786598,23955181,2183,476,124,277,334,72,6,594,79,3913,163554,100,5640,300,343,631989.0,2,0,18,13,18,21,146,109000000000.0,14244000000000.0,643043000000.0,212728000000.0
South Korea,5,0.1642,450000,3100000,120000,21353538,416654,1540,242,98,40,335,35,4,827,113,1831,117460,2780,5800,525,215,427946.0,0,2,22,14,18,3,96,44800000000.0,2607000000000.0,418219000000.0,553871000000.0
France,6,0.1798,264000,43444,150000,23794358,752121,974,223,0,118,140,44,15,452,67,427,110784,74,0,9,166,487471.0,1,3,9,11,5,0,22,67232395000.0,3732000000000.0,282857000000.0,7691320000000.0
Japan,7,0.1876,251500,56000,25000,42874277,1108818,1429,217,47,53,399,135,10,583,118,734,54390,193,480,99,158,798062.0,0,4,23,41,8,0,6,58000000000.0,5715000000000.0,1231000000000.0,5147670000000.0
United Kingdom,8,0.1881,141330,31940,0,25192932,753050,625,103,38,30,201,29,9,262,50,288,94064,14,126,43,116,406308.0,2,0,10,6,7,0,26,88526529585.0,3636000000000.0,174598000000.0,10553100000000.0
Turkiye,9,0.1975,481000,380000,150000,36087279,1430032,1101,201,0,84,301,27,7,509,111,2284,98193,1045,635,237,192,349739.0,0,1,14,0,17,9,40,51400000000.0,3018000000000.0,154744000000.0,149654000000.0
Italy,10,0.2211,165500,18300,105000,22191235,548684,714,88,65,31,152,22,8,352,37,203,87364,64,108,21,285,387892.0,2,0,8,3,14,0,15,37325165000.0,3133000000000.0,290547000000.0,3025000000000.0
Brazil,11,0.2374,376000,1340000,200000,88680759,3520824,495,44,30,107,124,25,0,186,0,294,22464,149,412,82,69,166419.0,0,1,6,0,8,2,22,26400000000.0,4165000000000.0,329732000000.0,198582000000.0
Germany,12,0.2463,184324,860000,0,30955829,841191,569,127,63,55,16,27,3,292,49,296,87338,134,0,33,96,241492.0,0,0,6,0,11,6,54,127400000000.0,5247000000000.0,377936000000.0,6862470000000.0
Indonesia,13,0.2582,404500,401000,250000,114595923,4786562,460,41,34,73,114,15,1,212,15,331,28064,153,396,67,338,324754.0,0,0,4,0,10,26,211,11155297716.0,4102000000000.0,155708000000.0,225273000000.0
