country,gdp,defense_budget,total_manpower,active_personnel,reserve_personnel,air_force_personnel,army_personnel,navy_personnel,total_aircraft,attack_aircraft,fighter_aircraft,transport_aircraft,helicopters,special_mission_aircraft,trainer_aircraft,attack_helicopters,tanker_aircraft,naval_assets,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,patrol_vessel,mine_warfare,tanks,vehicles,self_propelled_artillery,towed_artillery,rocket_artillery,external_debt,power_index
Venezuela,"$110,943,000,000 USD","$6,060,000,000 USD","15,625,153","109,000","8,000","10,755","300,745","25,500","Stock: 224			
Readiness: 123*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 30 (13.4%)

Readiness: 17*","Stock: 47 (21.0%)

Readiness: 26*","Stock: 85 (37.9%)

Readiness: 47*","Stock: 3 (1.3%)

Readiness: 2*","Stock: 75 (33.5%)

Readiness: 41*","Stock: 10 (4.5%)

Readiness: 6*","Stock: 1 (0.4%)

Readiness: 1*",41,0,0,0,1,0,3,26,0,"Stock: 282				
Readiness: 169*","Stock: 15,168            	
Readiness: 9,101*","Stock: 60				
Readiness: 36*","Stock: 92				
Readiness: 55*","Stock: 56				
Readiness: 34*","$121,363,000,000 USD",0.9106
Democratic Republic Of The Congo,"$164,367,000,000 USD","$960,000,000 USD","39,237,029","166,580","30,800","2,550","103,000","6,700","Stock: 56			
Readiness: 25*","Stock: 6 (10.7%)

Readiness: 3*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 10 (17.9%)

Readiness: 5*","Stock: 38 (67.9%)

Readiness: 17*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 2 (3.6%)

Readiness: 1*","Stock: 9 (16.1%)

Readiness: 4*","Stock: 0 (0.0%)

Readiness: 0*",16,0,0,0,0,0,0,16,0,"Stock: 212				
Readiness: 117*","Stock: 7,164            	
Readiness: 3,940*","Stock: 16				
Readiness: 9*","Stock: 125				
Readiness: 69*","Stock: 81				
Readiness: 45*","$7,926,000,000 USD",1.3051
Kuwait,"$225,947,000,000 USD","$7,987,000,000 USD","1,726,095","78,000","24,000","2,500","103,000","4,000","Stock: 133			
Readiness: 80*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 47 (35.3%)

Readiness: 28*","Stock: 2 (1.5%)

Readiness: 1*","Stock: 68 (51.1%)

Readiness: 41*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 13 (9.8%)

Readiness: 8*","Stock: 16 (12.0%)

Readiness: 10*","Stock: 3 (2.3%)

Readiness: 2*",123,0,0,0,0,0,0,106,0,"Stock: 367				
Readiness: 220*","Stock: 7,472            	
Readiness: 4,483*","Stock: 51				
Readiness: 31*","Stock: 0				
Readiness: 0*","Stock: 27				
Readiness: 16*","$60,500,000,000 USD",1.7161
Netherlands,"$1,276,000,000,000 USD","$31,791,150,000 USD","7,997,570","44,245","8,510","9,500","53,212","24,822","Stock: 130			
Readiness: 91*","Stock: 38 (29.2%)

Readiness: 27*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 4 (3.1%)

Readiness: 3*","Stock: 67 (51.5%)

Readiness: 47*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 21 (16.2%)

Readiness: 15*","Stock: 16 (12.3%)

Readiness: 11*","Stock: 0 (0.0%)

Readiness: 0*",140,0,0,0,6,0,3,76,3,"Stock: 18				
Readiness: 13*","Stock: 6,689            	
Readiness: 4,682*","Stock: 46				
Readiness: 32*","Stock: 0				
Readiness: 0*","Stock: 4				
Readiness: 3*","$5,257,949,730,000 USD",0.6142
Denmark,"$440,558,000,000 USD","$14,250,000,000 USD","2,628,180","21,000","12,000","3,475","88,400","3,600","Stock: 122			
Readiness: 98*","Stock: 19 (15.6%)

Readiness: 15*","Stock: 26 (21.3%)

Readiness: 21*","Stock: 4 (3.3%)

Readiness: 3*","Stock: 34 (27.9%)

Readiness: 27*","Stock: 3 (2.5%)

Readiness: 2*","Stock: 36 (29.5%)

Readiness: 29*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",50,0,0,0,9,0,0,9,6,"Stock: 44				
Readiness: 33*","Stock: 5,930            	
Readiness: 4,448*","Stock: 19				
Readiness: 14*","Stock: 0				
Readiness: 0*","Stock: 8				
Readiness: 6*","$611,050,000,000 USD",0.8198
Czech Republic,"$521,928,000,000 USD","$9,174,000,000 USD","5,093,808","30,334","4,900","3,120","13,000",0,"Stock: 103			
Readiness: 77*","Stock: 16 (15.5%)

Readiness: 12*","Stock: 12 (11.7%)

Readiness: 9*","Stock: 10 (9.7%)

Readiness: 8*","Stock: 42 (40.8%)

Readiness: 32*","Stock: 2 (1.9%)

Readiness: 2*","Stock: 21 (20.4%)

Readiness: 16*","Stock: 4 (3.9%)

Readiness: 3*","Stock: 0 (0.0%)

Readiness: 0*",,,,,,,,,,"Stock: 20				
Readiness: 14*","Stock: 6,275            	
Readiness: 4,393*","Stock: 53				
Readiness: 37*","Stock: 0				
Readiness: 0*","Stock: 16				
Readiness: 11*","$232,320,000,000 USD",1.0313
Albania,"$51,360,000,000 USD","$720,037,190 USD","1,522,479","7,500",0,650,"2,335","1,000","Stock: 20			
Readiness: 11*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 1 (5.0%)

Readiness: 1*","Stock: 19 (95.0%)

Readiness: 10*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",33,0,0,0,0,0,0,33,0,"Stock: 0				
Readiness: 0*","Stock: 1,492            	
Readiness: 970*","Stock: 10				
Readiness: 7*","Stock: 0				
Readiness: 0*","Stock: 270				
Readiness: 176*","$5,363,000,000 USD",1.7258
Bosnia And Herzegovina,"$64,641,000,000 USD","$289,920,000 USD","2,355,176","18,000","8,000","2,100","26,000",0,"Stock: 15			
Readiness: 10*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 15 (100.0%)

Readiness: 10*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",0,0,0,0,0,0,0,0,0,"Stock: 45				
Readiness: 29*","Stock: 892            	
Readiness: 580*","Stock: 0				
Readiness: 0*","Stock: 300				
Readiness: 195*","Stock: 24				
Readiness: 16*","$5,359,000,000 USD",3.1291
Ireland,"$620,544,000,000 USD","$1,754,400,500 USD","2,407,392","7,557","1,720",690,"7,705",800,"Stock: 23			
Readiness: 15*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 5 (21.7%)

Readiness: 3*","Stock: 8 (34.8%)

Readiness: 5*","Stock: 2 (8.7%)

Readiness: 1*","Stock: 8 (34.8%)

Readiness: 5*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",8,0,0,0,0,0,0,8,0,"Stock: 0				
Readiness: 0*","Stock: 3,296            	
Readiness: 2,142*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","$3,630,000,000,000 USD",2.0661
Azerbaijan,"$225,198,000,000 USD","$5,100,000,000 USD","5,218,617","128,000","306,000","15,000","110,000","3,000","Stock: 159			
Readiness: 87*","Stock: 20 (12.6%)

Readiness: 11*","Stock: 12 (7.5%)

Readiness: 7*","Stock: 4 (2.5%)

Readiness: 2*","Stock: 87 (54.7%)

Readiness: 48*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 36 (22.6%)

Readiness: 20*","Stock: 16 (10.1%)

Readiness: 9*","Stock: 0 (0.0%)

Readiness: 0*",32,0,0,0,0,0,4,17,4,"Stock: 1,354				
Readiness: 880*","Stock: 14,448            	
Readiness: 9,391*","Stock: 135				
Readiness: 88*","Stock: 651				
Readiness: 423*","Stock: 696				
Readiness: 452*","$12,378,000,000 USD",1.1991
