country,total_population,gdp,defense_budget,total_manpower,active_personnel,reserve_personnel,air_force_personnel,army_personnel,navy_personnel,total_aircraft,attack_aircraft,fighter_aircraft,transport_aircraft,helicopters,special_mission_aircraft,trainer_aircraft,attack_helicopters,tanker_aircraft,naval_assets,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,patrol_vessel,mine_warfare,tanks,self_propelled_artillery,towed_artillery,rocket_artillery,external_debt,power_index
Chile,18664652,596556000000.0,6800000000.0,8959033,80000,40000,7645,80000,25000,274,0,45,33,86,18,92,0,5,130,0,0,0,8,0,4,40,0,0,0,0,0,235950000000.0,0.8704
Dominican Republic,10815857,276884000000.0,903000000.0,4975294,89000,189000,6730,28750,13200,80,8,0,11,49,1,17,0,0,34,0,0,0,0,0,0,14,0,0,0,0,0,35044000000.0,2.5853
Norway,5509733,507680000000.0,11189483200.0,2203893,33440,20100,3650,8735,4010,109,43,0,4,34,5,23,0,0,48,0,0,0,4,6,6,20,5,0,0,0,0,787758000000.0,0.6679
Zambia,20799116,79207000000.0,385321000.0,7279691,15150,0,3745,13250,0,78,0,0,13,33,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16597000000.0,2.4461
Liberia,5437249,9308000000.0,20700000.0,2392390,2100,0,0,2100,300,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,1335000000.0,3.9275
Brazil,220051512,4165000000000.0,26400000000.0,112226271,376000,1340000,81000,1212217,80505,495,30,44,107,186,25,124,0,0,69,0,1,0,8,2,6,22,4,0,0,0,0,198582000000.0,0.2374
Pakistan,252363571,1390000000000.0,9102115350.0,108516336,660000,550000,78000,1311500,57500,1397,90,331,63,379,27,563,55,4,120,0,0,0,9,6,8,79,3,0,0,0,0,89148000000.0,0.2626
Morocco,37387585,350594000000.0,16100000000.0,17946041,400000,250000,13000,500000,9300,271,0,84,31,73,4,77,6,2,100,0,0,0,6,1,0,84,0,0,0,0,0,42262000000.0,1.0368
Beliz,415789,5538000000.0,34400000.0,158000,2000,850,60,2850,0,3,0,0,1,1,1,0,0,0,15,0,0,0,0,0,0,15,0,0,0,0,0,1235000000.0,4.3602
Kazakhstan,20260006,739385000000.0,5836386000.0,9117003,110000,135000,12000,80000,3000,168,13,37,21,72,0,25,12,0,26,0,0,0,0,0,0,23,2,0,0,0,0,25765000000.0,1.0433
Portugal,10639726,556942000000.0,6760000000.0,5319863,25000,23500,6000,12000,7000,128,5,28,20,36,16,23,0,4,128,0,0,0,5,2,2,71,0,0,0,0,0,530000000000.0,0.6659
Uganda,49283041,144137000000.0,1510000000.0,16756234,45000,0,1200,43800,0,51,0,6,3,30,0,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10469000000.0,2.3252
Botswana,2450668,45553000000.0,581000000.0,1029281,12000,0,500,12000,0,45,0,10,9,16,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1761000000.0,2.9993
Nigeria,236747130,1318000000000.0,3900000000.0,125475979,230000,0,18000,1960000,11000,159,24,14,12,69,12,28,15,0,152,0,0,0,1,0,0,132,2,0,0,0,0,45009000000.0,0.6097
